plant_id,timestamp,health_forecast,lower_90,upper_90,repair_probability,degradation_slope
PLANT_001,2025-04-24 01:00:00,0.6472,0.6426,0.6519,0.0,-1.2e-05
PLANT_001,2025-04-24 02:00:00,0.6472,0.6426,0.6518,0.0,-1.2e-05
PLANT_001,2025-04-24 03:00:00,0.6472,0.6426,0.6518,0.0,-1.2e-05
PLANT_001,2025-04-24 04:00:00,0.6472,0.6426,0.6518,0.0,-1.2e-05
PLANT_001,2025-04-24 05:00:00,0.6472,0.6426,0.6518,0.0,-1.2e-05
PLANT_001,2025-04-24 06:00:00,0.6472,0.6426,0.6518,0.0,-1.2e-05
PLANT_001,2025-04-24 07:00:00,0.6472,0.6426,0.6518,0.0,-1.2e-05
PLANT_001,2025-04-24 08:00:00,0.6472,0.6426,0.6518,0.0,-1.2e-05
PLANT_001,2025-04-24 09:00:00,0.6471,0.6425,0.6518,0.0,-1.2e-05
PLANT_001,2025-04-24 10:00:00,0.6471,0.6425,0.6517,0.0,-1.2e-05
PLANT_001,2025-04-24 11:00:00,0.6471,0.6425,0.6517,0.0,-1.2e-05
PLANT_001,2025-04-24 12:00:00,0.6471,0.6425,0.6517,0.0,-1.2e-05
PLANT_001,2025-04-24 13:00:00,0.6471,0.6425,0.6517,0.0,-1.2e-05
PLANT_001,2025-04-24 14:00:00,0.6471,0.6425,0.6517,0.0,-1.2e-05
PLANT_001,2025-04-24 15:00:00,0.6471,0.6425,0.6517,0.0,-1.2e-05
PLANT_001,2025-04-24 16:00:00,0.6471,0.6425,0.6517,0.0,-1.2e-05
PLANT_001,2025-04-24 17:00:00,0.647,0.6424,0.6517,0.0,-1.2e-05
PLANT_001,2025-04-24 18:00:00,0.647,0.6424,0.6516,0.0,-1.2e-05
PLANT_001,2025-04-24 19:00:00,0.647,0.6424,0.6516,0.0,-1.2e-05
PLANT_001,2025-04-24 20:00:00,0.647,0.6424,0.6516,0.0,-1.2e-05
PLANT_001,2025-04-24 21:00:00,0.647,0.6424,0.6516,0.0,-1.2e-05
PLANT_001,2025-04-24 22:00:00,0.647,0.6424,0.6516,0.0,-1.2e-05
PLANT_001,2025-04-24 23:00:00,0.647,0.6424,0.6516,0.0,-1.2e-05
PLANT_001,2025-04-25 00:00:00,0.647,0.6424,0.6516,0.0,-1.2e-05
PLANT_001,2025-04-25 01:00:00,0.6469,0.6423,0.6516,0.0,-1.2e-05
PLANT_001,2025-04-25 02:00:00,0.6469,0.6423,0.6515,0.0,-1.2e-05
PLANT_001,2025-04-25 03:00:00,0.6469,0.6423,0.6515,0.0,-1.2e-05
PLANT_001,2025-04-25 04:00:00,0.6469,0.6423,0.6515,0.0,-1.2e-05
PLANT_001,2025-04-25 05:00:00,0.6469,0.6423,0.6515,0.0,-1.2e-05
PLANT_001,2025-04-25 06:00:00,0.6469,0.6423,0.6515,0.0,-1.2e-05
PLANT_001,2025-04-25 07:00:00,0.6469,0.6423,0.6515,0.0,-1.2e-05
PLANT_001,2025-04-25 08:00:00,0.6469,0.6423,0.6515,0.0,-1.2e-05
PLANT_001,2025-04-25 09:00:00,0.6468,0.6422,0.6515,0.0,-1.2e-05
PLANT_001,2025-04-25 10:00:00,0.6468,0.6422,0.6514,0.0,-1.2e-05
PLANT_001,2025-04-25 11:00:00,0.6468,0.6422,0.6514,0.0,-1.2e-05
PLANT_001,2025-04-25 12:00:00,0.6468,0.6422,0.6514,0.0,-1.2e-05
PLANT_001,2025-04-25 13:00:00,0.6468,0.6422,0.6514,0.0,-1.2e-05
PLANT_001,2025-04-25 14:00:00,0.6468,0.6422,0.6514,0.0,-1.2e-05
PLANT_001,2025-04-25 15:00:00,0.6468,0.6422,0.6514,0.0,-1.2e-05
PLANT_001,2025-04-25 16:00:00,0.6468,0.6422,0.6514,0.0,-1.2e-05
PLANT_001,2025-04-25 17:00:00,0.6467,0.6421,0.6514,0.0,-1.2e-05
PLANT_001,2025-04-25 18:00:00,0.6467,0.6421,0.6513,0.0,-1.2e-05
PLANT_001,2025-04-25 19:00:00,0.6467,0.6421,0.6513,0.0,-1.2e-05
PLANT_001,2025-04-25 20:00:00,0.6467,0.6421,0.6513,0.0,-1.2e-05
PLANT_001,2025-04-25 21:00:00,0.6467,0.6421,0.6513,0.0,-1.2e-05
PLANT_001,2025-04-25 22:00:00,0.6467,0.6421,0.6513,0.0,-1.2e-05
PLANT_001,2025-04-25 23:00:00,0.6467,0.6421,0.6513,0.0,-1.2e-05
PLANT_001,2025-04-26 00:00:00,0.6467,0.6421,0.6513,0.0,-1.2e-05
PLANT_001,2025-04-26 01:00:00,0.6466,0.642,0.6513,0.0,-1.2e-05
PLANT_001,2025-04-26 02:00:00,0.6466,0.642,0.6512,0.0,-1.2e-05
PLANT_001,2025-04-26 03:00:00,0.6466,0.642,0.6512,0.0,-1.2e-05
PLANT_001,2025-04-26 04:00:00,0.6466,0.642,0.6512,0.0,-1.2e-05
PLANT_001,2025-04-26 05:00:00,0.6466,0.642,0.6512,0.0,-1.2e-05
PLANT_001,2025-04-26 06:00:00,0.6466,0.642,0.6512,0.0,-1.2e-05
PLANT_001,2025-04-26 07:00:00,0.6466,0.642,0.6512,0.0,-1.2e-05
PLANT_001,2025-04-26 08:00:00,0.6466,0.642,0.6512,0.0,-1.2e-05
PLANT_001,2025-04-26 09:00:00,0.6465,0.6419,0.6512,0.0,-1.2e-05
PLANT_001,2025-04-26 10:00:00,0.6465,0.6419,0.6511,0.0,-1.2e-05
PLANT_001,2025-04-26 11:00:00,0.6465,0.6419,0.6511,0.0,-1.2e-05
PLANT_001,2025-04-26 12:00:00,0.6465,0.6419,0.6511,0.0,-1.2e-05
PLANT_001,2025-04-26 13:00:00,0.6465,0.6419,0.6511,0.0,-1.2e-05
PLANT_001,2025-04-26 14:00:00,0.6465,0.6419,0.6511,0.0,-1.2e-05
PLANT_001,2025-04-26 15:00:00,0.6465,0.6419,0.6511,0.0,-1.2e-05
PLANT_001,2025-04-26 16:00:00,0.6465,0.6419,0.6511,0.0,-1.2e-05
PLANT_001,2025-04-26 17:00:00,0.6464,0.6418,0.6511,0.0,-1.2e-05
PLANT_001,2025-04-26 18:00:00,0.6464,0.6418,0.651,0.0,-1.2e-05
PLANT_001,2025-04-26 19:00:00,0.6464,0.6418,0.651,0.0,-1.2e-05
PLANT_001,2025-04-26 20:00:00,0.6464,0.6418,0.651,0.0,-1.2e-05
PLANT_001,2025-04-26 21:00:00,0.6464,0.6418,0.651,0.0,-1.2e-05
PLANT_001,2025-04-26 22:00:00,0.6464,0.6418,0.651,0.0,-1.2e-05
PLANT_001,2025-04-26 23:00:00,0.6464,0.6418,0.651,0.0,-1.2e-05
PLANT_001,2025-04-27 00:00:00,0.6464,0.6418,0.651,0.0,-1.2e-05
PLANT_002,2025-04-24 01:00:00,0.5839,0.5801,0.5877,0.0,-1e-05
PLANT_002,2025-04-24 02:00:00,0.5839,0.5801,0.5876,0.0,-1e-05
PLANT_002,2025-04-24 03:00:00,0.5838,0.5801,0.5876,0.0,-1e-05
PLANT_002,2025-04-24 04:00:00,0.5838,0.5801,0.5876,0.0,-1e-05
PLANT_002,2025-04-24 05:00:00,0.5838,0.58,0.5876,0.0,-1e-05
PLANT_002,2025-04-24 06:00:00,0.5838,0.58,0.5876,0.0,-1e-05
PLANT_002,2025-04-24 07:00:00,0.5838,0.58,0.5876,0.0,-1e-05
PLANT_002,2025-04-24 08:00:00,0.5838,0.58,0.5876,0.0,-1e-05
PLANT_002,2025-04-24 09:00:00,0.5838,0.58,0.5876,0.0,-1e-05
PLANT_002,2025-04-24 10:00:00,0.5838,0.58,0.5876,0.0,-1e-05
PLANT_002,2025-04-24 11:00:00,0.5838,0.58,0.5875,0.0,-1e-05
PLANT_002,2025-04-24 12:00:00,0.5838,0.58,0.5875,0.0,-1e-05
PLANT_002,2025-04-24 13:00:00,0.5837,0.58,0.5875,0.0,-1e-05
PLANT_002,2025-04-24 14:00:00,0.5837,0.58,0.5875,0.0,-1e-05
PLANT_002,2025-04-24 15:00:00,0.5837,0.5799,0.5875,0.0,-1e-05
PLANT_002,2025-04-24 16:00:00,0.5837,0.5799,0.5875,0.0,-1e-05
PLANT_002,2025-04-24 17:00:00,0.5837,0.5799,0.5875,0.0,-1e-05
PLANT_002,2025-04-24 18:00:00,0.5837,0.5799,0.5875,0.0,-1e-05
PLANT_002,2025-04-24 19:00:00,0.5837,0.5799,0.5875,0.0,-1e-05
PLANT_002,2025-04-24 20:00:00,0.5837,0.5799,0.5875,0.0,-1e-05
PLANT_002,2025-04-24 21:00:00,0.5837,0.5799,0.5874,0.0,-1e-05
PLANT_002,2025-04-24 22:00:00,0.5837,0.5799,0.5874,0.0,-1e-05
PLANT_002,2025-04-24 23:00:00,0.5836,0.5799,0.5874,0.0,-1e-05
