plant_id,timestamp,irradiance_forecast,lower_90,upper_90,method
PLANT_001,2025-04-24 01:00:00,0.0,0.0,0.0,blend_prophet_physics
PLANT_001,2025-04-24 02:00:00,0.0,0.0,0.0,blend_prophet_physics
PLANT_001,2025-04-24 03:00:00,0.0,0.0,0.0,blend_prophet_physics
PLANT_001,2025-04-24 04:00:00,0.0,0.0,0.0,blend_prophet_physics
PLANT_001,2025-04-24 05:00:00,0.0,0.0,0.0,blend_prophet_physics
PLANT_001,2025-04-24 06:00:00,5.87,0.0,97.16,blend_prophet_physics
PLANT_001,2025-04-24 07:00:00,208.37,95.32,273.49,blend_prophet_physics
PLANT_001,2025-04-24 08:00:00,410.17,268.98,454.42,blend_prophet_physics
PLANT_001,2025-04-24 09:00:00,575.95,416.55,598.1,blend_prophet_physics
PLANT_001,2025-04-24 10:00:00,706.89,532.02,717.32,blend_prophet_physics
PLANT_001,2025-04-24 11:00:00,793.33,608.9,791.21,blend_prophet_physics
PLANT_001,2025-04-24 12:00:00,820.15,633.03,822.16,blend_prophet_physics
PLANT_001,2025-04-24 13:00:00,786.98,599.09,783.01,blend_prophet_physics
PLANT_001,2025-04-24 14:00:00,714.24,542.05,718.24,blend_prophet_physics
PLANT_001,2025-04-24 15:00:00,576.92,417.85,598.75,blend_prophet_physics
PLANT_001,2025-04-24 16:00:00,407.05,268.83,455.79,blend_prophet_physics
PLANT_001,2025-04-24 17:00:00,210.04,94.47,273.01,blend_prophet_physics
PLANT_001,2025-04-24 18:00:00,6.61,0.0,94.4,blend_prophet_physics
PLANT_001,2025-04-24 19:00:00,0.0,0.0,0.0,blend_prophet_physics
PLANT_001,2025-04-24 20:00:00,0.0,0.0,0.0,blend_prophet_physics
PLANT_001,2025-04-24 21:00:00,0.0,0.0,0.0,blend_prophet_physics
PLANT_001,2025-04-24 22:00:00,0.0,0.0,0.0,blend_prophet_physics
PLANT_001,2025-04-24 23:00:00,0.0,0.0,0.0,blend_prophet_physics
PLANT_001,2025-04-25 00:00:00,0.0,0.0,0.0,blend_prophet_physics
PLANT_001,2025-04-25 01:00:00,0.0,0.0,0.0,blend_prophet_physics
PLANT_001,2025-04-25 02:00:00,0.0,0.0,0.0,blend_prophet_physics
PLANT_001,2025-04-25 03:00:00,0.0,0.0,0.0,blend_prophet_physics
PLANT_001,2025-04-25 04:00:00,0.0,0.0,0.0,blend_prophet_physics
PLANT_001,2025-04-25 05:00:00,0.0,0.0,0.0,blend_prophet_physics
PLANT_001,2025-04-25 06:00:00,5.95,0.0,103.33,blend_prophet_physics
PLANT_001,2025-04-25 07:00:00,208.46,91.08,273.68,blend_prophet_physics
PLANT_001,2025-04-25 08:00:00,410.26,269.1,442.85,blend_prophet_physics
PLANT_001,2025-04-25 09:00:00,576.05,414.77,602.13,blend_prophet_physics
PLANT_001,2025-04-25 10:00:00,707.0,527.57,712.07,blend_prophet_physics
PLANT_001,2025-04-25 11:00:00,793.43,607.44,788.22,blend_prophet_physics
PLANT_001,2025-04-25 12:00:00,820.26,632.38,812.47,blend_prophet_physics
PLANT_001,2025-04-25 13:00:00,787.09,604.3,781.64,blend_prophet_physics
PLANT_001,2025-04-25 14:00:00,714.35,544.68,733.01,blend_prophet_physics
PLANT_001,2025-04-25 15:00:00,577.03,418.35,600.55,blend_prophet_physics
PLANT_001,2025-04-25 16:00:00,407.16,269.33,443.53,blend_prophet_physics
PLANT_001,2025-04-25 17:00:00,210.15,97.93,275.9,blend_prophet_physics
PLANT_001,2025-04-25 18:00:00,6.72,0.0,102.58,blend_prophet_physics
PLANT_001,2025-04-25 19:00:00,0.0,0.0,0.0,blend_prophet_physics
PLANT_001,2025-04-25 20:00:00,0.0,0.0,0.0,blend_prophet_physics
PLANT_001,2025-04-25 21:00:00,0.0,0.0,0.0,blend_prophet_physics
PLANT_001,2025-04-25 22:00:00,0.0,0.0,0.0,blend_prophet_physics
PLANT_001,2025-04-25 23:00:00,0.0,0.0,0.0,blend_prophet_physics
PLANT_001,2025-04-26 00:00:00,0.0,0.0,0.0,blend_prophet_physics
PLANT_001,2025-04-26 01:00:00,0.0,0.0,0.0,blend_prophet_physics
PLANT_001,2025-04-26 02:00:00,0.0,0.0,0.0,blend_prophet_physics
PLANT_001,2025-04-26 03:00:00,0.0,0.0,0.0,blend_prophet_physics
PLANT_001,2025-04-26 04:00:00,0.0,0.0,0.0,blend_prophet_physics
PLANT_001,2025-04-26 05:00:00,0.0,0.0,0.0,blend_prophet_physics
PLANT_001,2025-04-26 06:00:00,6.08,0.0,99.03,blend_prophet_physics
PLANT_001,2025-04-26 07:00:00,208.6,91.68,273.33,blend_prophet_physics
PLANT_001,2025-04-26 08:00:00,410.41,274.15,458.45,blend_prophet_physics
PLANT_001,2025-04-26 09:00:00,576.2,417.26,603.27,blend_prophet_physics
PLANT_001,2025-04-26 10:00:00,707.16,537.34,707.44,blend_prophet_physics
PLANT_001,2025-04-26 11:00:00,793.6,609.52,795.0,blend_prophet_physics
PLANT_001,2025-04-26 12:00:00,820.43,639.25,820.55,blend_prophet_physics
PLANT_001,2025-04-26 13:00:00,787.26,600.29,786.82,blend_prophet_physics
PLANT_001,2025-04-26 14:00:00,714.52,547.15,714.16,blend_prophet_physics
PLANT_001,2025-04-26 15:00:00,577.2,417.34,599.26,blend_prophet_physics
PLANT_001,2025-04-26 16:00:00,407.33,269.95,449.25,blend_prophet_physics
PLANT_001,2025-04-26 17:00:00,210.32,100.11,278.91,blend_prophet_physics
PLANT_001,2025-04-26 18:00:00,6.88,0.0,106.25,blend_prophet_physics
PLANT_001,2025-04-26 19:00:00,0.0,0.0,0.0,blend_prophet_physics
PLANT_001,2025-04-26 20:00:00,0.0,0.0,0.0,blend_prophet_physics
PLANT_001,2025-04-26 21:00:00,0.0,0.0,0.0,blend_prophet_physics
PLANT_001,2025-04-26 22:00:00,0.0,0.0,0.0,blend_prophet_physics
PLANT_001,2025-04-26 23:00:00,0.0,0.0,0.0,blend_prophet_physics
PLANT_001,2025-04-27 00:00:00,0.0,0.0,0.0,blend_prophet_physics
PLANT_002,2025-04-24 01:00:00,0.0,0.0,0.0,blend_prophet_physics
PLANT_002,2025-04-24 02:00:00,0.0,0.0,0.0,blend_prophet_physics
PLANT_002,2025-04-24 03:00:00,0.0,0.0,0.0,blend_prophet_physics
PLANT_002,2025-04-24 04:00:00,0.0,0.0,0.0,blend_prophet_physics
PLANT_002,2025-04-24 05:00:00,0.0,0.0,0.0,blend_prophet_physics
PLANT_002,2025-04-24 06:00:00,0.0,0.0,0.0,blend_prophet_physics
PLANT_002,2025-04-24 07:00:00,81.14,0.0,0.0,blend_prophet_physics
PLANT_002,2025-04-24 08:00:00,156.75,0.0,0.0,blend_prophet_physics
PLANT_002,2025-04-24 09:00:00,221.68,0.0,0.0,blend_prophet_physics
PLANT_002,2025-04-24 10:00:00,271.5,0.0,0.0,blend_prophet_physics
PLANT_002,2025-04-24 11:00:00,302.82,0.0,0.0,blend_prophet_physics
PLANT_002,2025-04-24 12:00:00,313.5,0.0,0.0,blend_prophet_physics
