plant_id,timestamp,forecast_mw,lower_90,upper_90,model
PLANT_003,2025-04-24 06:00:00,15.055,15.045,15.065,ridge
PLANT_003,2025-04-24 07:00:00,15.262,15.253,15.272,ridge
PLANT_003,2025-04-24 08:00:00,15.488,15.478,15.498,ridge
PLANT_003,2025-04-24 09:00:00,15.628,15.619,15.638,ridge
PLANT_003,2025-04-24 10:00:00,15.784,15.774,15.794,ridge
PLANT_003,2025-04-24 11:00:00,16.144,16.134,16.154,ridge
PLANT_003,2025-04-24 12:00:00,16.284,16.275,16.294,ridge
PLANT_003,2025-04-24 13:00:00,16.269,16.259,16.279,ridge
PLANT_003,2025-04-24 14:00:00,16.197,16.187,16.207,ridge
PLANT_003,2025-04-24 15:00:00,15.986,15.976,15.995,ridge
PLANT_003,2025-04-24 16:00:00,15.451,15.442,15.461,ridge
PLANT_003,2025-04-24 17:00:00,15.204,15.194,15.214,ridge
PLANT_003,2025-04-24 18:00:00,14.509,14.499,14.519,ridge
PLANT_003,2025-04-24 19:00:00,13.753,13.743,13.763,ridge
PLANT_003,2025-04-24 20:00:00,13.046,13.036,13.056,ridge
PLANT_003,2025-04-24 21:00:00,11.925,11.915,11.934,ridge
PLANT_003,2025-04-24 22:00:00,11.649,11.639,11.659,ridge
PLANT_003,2025-04-24 23:00:00,11.626,11.616,11.635,ridge
PLANT_003,2025-04-25 00:00:00,11.46,11.45,11.47,ridge
PLANT_003,2025-04-25 01:00:00,11.53,11.52,11.54,ridge
PLANT_003,2025-04-25 02:00:00,12.168,12.158,12.178,ridge
PLANT_003,2025-04-25 03:00:00,11.674,11.664,11.684,ridge
PLANT_003,2025-04-25 04:00:00,11.278,11.268,11.288,ridge
PLANT_003,2025-04-25 05:00:00,11.677,11.667,11.686,ridge
PLANT_003,2025-04-25 06:00:00,11.677,11.668,11.687,ridge
PLANT_003,2025-04-25 07:00:00,11.687,11.677,11.696,ridge
PLANT_003,2025-04-25 08:00:00,11.695,11.685,11.705,ridge
PLANT_003,2025-04-25 09:00:00,11.703,11.693,11.712,ridge
PLANT_003,2025-04-25 10:00:00,11.708,11.698,11.718,ridge
PLANT_003,2025-04-25 11:00:00,11.712,11.702,11.721,ridge
PLANT_003,2025-04-25 12:00:00,11.712,11.702,11.722,ridge
PLANT_003,2025-04-25 13:00:00,11.711,11.701,11.721,ridge
PLANT_003,2025-04-25 14:00:00,11.708,11.698,11.717,ridge
PLANT_003,2025-04-25 15:00:00,11.701,11.692,11.711,ridge
PLANT_003,2025-04-25 16:00:00,11.693,11.683,11.703,ridge
PLANT_003,2025-04-25 17:00:00,11.684,11.674,11.694,ridge
PLANT_003,2025-04-25 18:00:00,11.674,11.664,11.684,ridge
PLANT_003,2025-04-25 19:00:00,11.673,11.663,11.683,ridge
PLANT_003,2025-04-25 20:00:00,11.673,11.663,11.683,ridge
PLANT_003,2025-04-25 21:00:00,11.674,11.664,11.684,ridge
PLANT_003,2025-04-25 22:00:00,11.675,11.665,11.685,ridge
PLANT_003,2025-04-25 23:00:00,11.677,11.667,11.687,ridge
PLANT_003,2025-04-26 00:00:00,11.675,11.665,11.684,ridge
PLANT_003,2025-04-26 01:00:00,11.674,11.665,11.684,ridge
PLANT_003,2025-04-26 02:00:00,11.675,11.665,11.685,ridge
PLANT_003,2025-04-26 03:00:00,11.675,11.665,11.685,ridge
PLANT_003,2025-04-26 04:00:00,11.675,11.666,11.685,ridge
PLANT_003,2025-04-26 05:00:00,11.676,11.666,11.686,ridge
PLANT_003,2025-04-26 06:00:00,11.676,11.667,11.686,ridge
PLANT_003,2025-04-26 07:00:00,11.686,11.676,11.695,ridge
PLANT_003,2025-04-26 08:00:00,11.694,11.684,11.704,ridge
PLANT_003,2025-04-26 09:00:00,11.701,11.691,11.711,ridge
PLANT_003,2025-04-26 10:00:00,11.707,11.697,11.716,ridge
PLANT_003,2025-04-26 11:00:00,11.71,11.7,11.72,ridge
PLANT_003,2025-04-26 12:00:00,11.711,11.702,11.721,ridge
PLANT_003,2025-04-26 13:00:00,11.71,11.7,11.72,ridge
PLANT_003,2025-04-26 14:00:00,11.706,11.697,11.716,ridge
PLANT_003,2025-04-26 15:00:00,11.7,11.69,11.71,ridge
PLANT_003,2025-04-26 16:00:00,11.692,11.682,11.702,ridge
PLANT_003,2025-04-26 17:00:00,11.683,11.673,11.693,ridge
PLANT_003,2025-04-26 18:00:00,11.672,11.662,11.682,ridge
PLANT_003,2025-04-26 19:00:00,11.672,11.662,11.682,ridge
PLANT_003,2025-04-26 20:00:00,11.672,11.662,11.682,ridge
PLANT_003,2025-04-26 21:00:00,11.673,11.663,11.683,ridge
PLANT_003,2025-04-26 22:00:00,11.674,11.664,11.684,ridge
PLANT_003,2025-04-26 23:00:00,11.676,11.666,11.686,ridge
PLANT_003,2025-04-27 00:00:00,11.674,11.664,11.684,ridge
